ID,Lat,Long,group
0,41.94639645,-87.76185012,1
1,41.95143624,-87.75828331,1
2,41.95164844,-87.75956072,1
3,41.88307428,-87.65140954,31
4,41.88901581,-87.64960554,31
5,41.88178708,-87.64677792,31
6,41.88307428,-87.65140954,61
7,41.88169217,-87.65250019,61
8,41.88108279,-87.65201092,61
9,41.88307428,-87.65140954,91
10,41.87885127,-87.65704325,91
11,41.88557762,-87.65243323,91
12,41.88307428,-87.65140954,121
13,41.88771231,-87.65609043,121
14,41.88178708,-87.64677792,121
15,41.88307428,-87.65140954,151
16,41.88565353,-87.64812469,151
17,41.88108279,-87.65201092,151
18,41.88307428,-87.65140954,181
19,41.88142042,-87.65713367,181
20,41.88557762,-87.65243323,181
21,41.88307428,-87.65140954,211
22,41.88598871,-87.64864994,211
23,41.88178708,-87.64677792,211
24,41.88307428,-87.65140954,241
25,41.8822493,-87.65204626,241
26,41.88108279,-87.65201092,241
27,41.89896604,-87.72931379,271
28,41.89582612,-87.72609645,271
29,41.89628752,-87.72980917,271
30,41.89896604,-87.72931379,301
31,41.89998511,-87.72378331,301
32,41.90088388,-87.7219822,301
33,41.89896604,-87.72931379,331
34,41.89597783,-87.72365246,331
35,41.89619165,-87.73350881,331
36,41.89258874,-87.63409759,361
37,41.8939854,-87.6345231,361
38,41.89322348,-87.63153437,361
39,41.89258874,-87.63409759,391
40,41.89364666,-87.63117714,391
41,41.89321425,-87.63226904,391
42,41.89258874,-87.63409759,421
43,41.89489004,-87.62718941,421
44,41.88693078,-87.63285556,421
45,41.89258874,-87.63409759,451
46,41.8926701,-87.62810635,451
47,41.89608664,-87.63123490000002,451
48,41.89258874,-87.63409759,481
49,41.89598287,-87.62818377,481
50,41.89367653,-87.63562833,481
51,41.89258874,-87.63409759,511
52,41.89005327,-87.62874479999998,511
53,41.89688859,-87.62820319,511
54,41.89258874,-87.63409759,541
55,41.89488209,-87.62768167,541
56,41.89113572,-87.62804978,541
57,41.89258874,-87.63409759,571
58,41.89307085,-87.62812031,571
59,41.89322348,-87.63153437,571
60,41.89258874,-87.63409759,601
61,41.89328168,-87.62759645,601
62,41.89321425,-87.63226904,601
63,41.89258874,-87.63409759,631
64,41.89087424,-87.62747604,631
65,41.88693078,-87.63285556,631
66,41.89258874,-87.63409759,661
67,41.89608709,-87.62683463,661
68,41.89608664,-87.63123490000002,661
69,41.89258874,-87.63409759,691
70,41.88945317,-87.62799483,691
71,41.89367653,-87.63562833,691
72,41.89258874,-87.63409759,721
73,41.89322348,-87.63153437,721
74,41.89688859,-87.62820319,721
75,41.89258874,-87.63409759,751
76,41.89713287,-87.62821152,751
77,41.89113572,-87.62804978,751
78,41.89258874,-87.63409759,781
79,41.89476842,-87.63602781,781
80,41.89322348,-87.63153437,781
81,41.89258874,-87.63409759,811
82,41.89407874,-87.62779703,811
83,41.89321425,-87.63226904,811
84,41.9307251,-87.64771970000002,841
85,41.9261788,-87.64878628,841
86,41.93162206,-87.64444298,841
87,41.9307251,-87.64771970000002,871
88,41.92718286,-87.6542767,871
89,41.92592195,-87.6494321,871
90,41.88309095,-87.65052068,901
91,41.87921224,-87.64757293,901
92,41.88010804,-87.64730998,901
93,41.88309095,-87.65052068,931
94,41.88309456,-87.65020483,931
95,41.87885127,-87.65704325,931
96,41.88309095,-87.65052068,961
97,41.88588296,-87.64748324,961
98,41.88017392,-87.64731295,961
99,41.88309095,-87.65052068,991
100,41.8831276,-87.64837936,991
101,41.88010804,-87.64730998,991
