selected,NAME,ADDRESS,ZIP,LAT,LONG
polygon,Austin,5615 W. Race Avenue,60644,41.88927,-87.76571
polygon,Bucktown-Wicker Park,1701 N. Milwaukee Avenue,60647,41.91272,-87.68059
polygon,"Daley, Richard M.-W Humboldt",733 N. Kedzie Avenue,60612,41.89437,-87.70646
polygon,Galewood-Mont Clare,6871 W. Belden Avenue,60707,41.92111,-87.79724
polygon,Harold Washington-HWLC,400 S. State Street,60605,41.87630,-87.62819
polygon,Humboldt Park,1605 N. Troy Street,60647,41.91033,-87.70543
polygon,Legler,115 S. Pulaski Road,60624,41.87934,-87.72556
polygon,Lincoln Belmont,1659 W. Melrose Street,60657,41.94031,-87.67076
polygon,Lincoln Park,1150 W. Fullerton Avenue,60614,41.92559,-87.65811
polygon,Logan Square,3030 W. Fullerton Avenue,60647,41.92505,-87.70339
polygon,Manning,6 S. Hoyne Avenue,60612,41.88119,-87.67914
polygon,Merlo,644 W. Belmont Avenue,60657,41.94008,-87.64614
polygon,Near North,310 W. Division Street,60610,41.90387,-87.63649
polygon,North Austin,5724 W. North Avenue,60639,41.90943,-87.76880
polygon,North Pulaski,4300 W. North Avenue,60639,41.91004,-87.73393
polygon,Portage-Cragin,5108 W. Belmont Avenue,60641,41.93878,-87.75449
polygon,Roosevelt,1101 W. Taylor Street,60607,41.86928,-87.65448
polygon,Water Works,163 E. Pearson Street,60611,41.89758,-87.62315
polygon,West Belmont,3104 N. Narragansett Avenue,60634,41.93666,-87.78589
polygon,West Chicago Avenue,4856 W. Chicago Avenue,60651,41.89505,-87.74733
polygon,West Town,1625 W. Chicago Avenue,60622,41.89575,-87.66827
